title,url,summary,published,sentiment_label,sentiment_score,ai_summary
Where and how to find the lowest mortgage rates right now,https://finance.yahoo.com/personal-finance/mortgages/article/lowest-mortgage-rates-155235056.html,Where and how to find the lowest mortgage rates right now,2024-01-26T22:46:01Z,positif,0.286,Résumé indisponible
Rate (Guaranteed Rate) mortgage review 2025,https://finance.yahoo.com/personal-finance/mortgages/review/guaranteed-rate-mortgage-review-201543228.html,Rate (Guaranteed Rate) mortgage review 2025,2024-03-18T20:15:43Z,neutre,0.0,Résumé indisponible
"Congestion nicks CSX’s earnings, volume and revenue",https://finance.yahoo.com/news/congestion-nicks-csx-earnings-volume-230622545.html,"Congestion nicks CSX’s earnings, volume and revenue",2025-04-16T23:06:22Z,neutre,0.0,Résumé indisponible
Bank of Canada Holds Rates Steady as It Examines Tariff Fallout,https://www.wsj.com/livecoverage/stock-market-trump-tariffs-trade-war-04-16-25?siteid=yhoof2&yptr=yahoo,Bank of Canada Holds Rates Steady as It Examines Tariff Fallout,2025-04-16T23:15:30Z,positif,0.167,Résumé indisponible
What type of credit check affects your credit score?,https://finance.yahoo.com/personal-finance/credit-cards/article/what-kind-of-credit-check-affects-credit-score-232738255.html,What type of credit check affects your credit score?,2025-04-16T23:27:38Z,neutre,0.0,Résumé indisponible
How Congress-Tracking ETFs Reacted to the Market Drawdown,https://finance.yahoo.com/news/congress-tracking-etfs-reacted-market-233000940.html,How Congress-Tracking ETFs Reacted to the Market Drawdown,2025-04-16T23:30:00Z,neutre,0.0,Résumé indisponible
Veteran fund manager resets Nvidia stock price target after shocking export news,https://finance.yahoo.com/news/veteran-fund-manager-rethinks-nvidia-233300007.html,Veteran fund manager resets Nvidia stock price target after shocking export news,2025-04-16T23:33:00Z,négatif,-0.5,Résumé indisponible
BIL Gains $874 Million in AUM as Markets Steady,https://finance.yahoo.com/news/bil-gains-874-million-aum-234500862.html,BIL Gains $874 Million in AUM as Markets Steady,2025-04-16T23:45:00Z,positif,0.167,Résumé indisponible
New Zealand’s Annual Inflation Rises More Than Expected,https://www.wsj.com/economy/new-zealands-annual-inflation-rises-more-than-expected-b8a76c91?siteid=yhoof2&yptr=yahoo,New Zealand’s Annual Inflation Rises More Than Expected,2025-04-16T23:49:00Z,positif,0.179,Résumé indisponible
Nikkei May Decline as Uncertainty Over U.S. Tariffs Continue,https://www.wsj.com/finance/stocks/nikkei-may-decline-as-uncertainty-over-u-s-tariffs-continue-dccba995?siteid=yhoof2&yptr=yahoo,Nikkei May Decline as Uncertainty Over U.S. Tariffs Continue,2025-04-16T23:52:00Z,neutre,0.0,Résumé indisponible
